BKKB29664500                  ,ONE       ,NARAIPAK CO.  LTD.                                                                                                                                                                  ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, BAGS  SACKS  OF POLYETHYLENE ,CMDT : BAGS & SACKS  OF POLYETHYLENE :,2021-02-19 09:20:27.870
BKKB29673500                  ,ONE       ,NARAIPAK CO.  LTD.                                                                                                                                                                  ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, BAGS  SACKS  OF POLYETHYLENE ,CMDT : BAGS & SACKS  OF POLYETHYLENE :,2021-02-19 09:20:27.900
BKKB29682500                  ,ONE       ,NARAIPAK CO.  LTD.                                                                                                                                                                  ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, BAGS  SACKS  OF POLYETHYLENE ,CMDT : BAGS & SACKS  OF POLYETHYLENE :,2021-02-19 09:20:27.923
BKKB29855700                  ,ONE       ,NARAIPAK CO.  LTD.                                                                                                                                                                  ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, BAGS  SACKS  OF POLYETHYLENE ,CMDT : BAGS & SACKS  OF POLYETHYLENE :,2021-02-19 09:20:27.950
BKKB30175800                  ,ONE       ,TRANSCONTAINER LOGISTICS (THAILAND) CO. LTD.                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, COOKING WINE (NON DG) ,REQ. SURVEY ON 22/FEB AWAY FROM HEAT & DIRECT SUNSHINE  SHPR : SUN FOODS CO LTD CMDT : COOKING WINE (NON DG) : FLEXI BAG,2021-02-19 09:20:27.973
BKKB30191600                  ,ONE       ,TRANSCONTAINER LOGISTICS (THAILAND) CO. LTD.                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, COOKING WINE ,FLEXI BAG REQ. SURVEY ON 22/FEB REMARK AWAY FROM HEAT & DIRECT SUNSHINE SHPR : SUN FOODS TRADING CO. LTD. CMDT : COOKING WINE :,2021-02-19 09:20:28.000
BKKB30435700                  ,ONE       ,RIVER KWAI INTERNATIONAL FOOD INDUSTRY CO. LTD.                                                                                                                                     ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, CORN  SWEET  PREPARED OR PRESERVED (INCL. CANNED) ,SHPR : RIVER KWAI INTERNATIONAL FOOD INDUSTRY CO.  LTD. CMDT : CORN  SWEET  PREPARED OR PRESERVED (INCL. CANNED) :,2021-02-19 09:20:28.017
BKKB30504400                  ,ONE       ,INFINITY SHIPPING(THAILAND)CO. LTD.                                                                                                                                                 ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, VEGETABLE OIL IN FLEXIBAG ,SURVEY & CY ON 22/02 // FLEXIBAG APPROVED SHPR : THANAKORN VEGETABLE OIL PRODUCTS CO.  LTD. CMDT : VEGETABLE OIL IN FLEXIBAG :,2021-02-19 09:20:28.037
BKKB31318800                  ,ONE       ,K.CONNECT WORLDWIDE (THAILAND) CO. LTD                                                                                                                                              ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, FOODSTUFFS  N.O.S. ,SHPR : S.K. FOODS (THAILAND) PUBLIC COMPANY LIMITED. CMDT : FOODSTUFFS  N.O.S. :,2021-02-19 09:20:28.057
BKKB31327800                  ,ONE       ,K.CONNECT WORLDWIDE (THAILAND) CO. LTD                                                                                                                                              ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, FOODSTUFFS  N.O.S. ,SHPR : S.K. FOODS (THAILAND) PUBLIC COMPANY LIMITED. CMDT : FOODSTUFFS  N.O.S. :,2021-02-19 09:20:28.137
