TCLU4213337,40,GP,"BKKBB2264800                  ","THAO68526           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03956-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","760301 ",2021-04-08 07:58:13.147,"S021      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","655455 ",2021-04-16 07:52:03.293
UETU4055148,40,GP,"BKKBB2264800                  ","THAO68536           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03956-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635388 ",2021-04-08 10:45:52.273,"S022      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","727009 ",2021-04-16 07:49:18.090
DFSU4375288,40,GP,"BKKBB2264800                  ","THAO67524           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03956-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635386 ",2021-04-08 13:49:03.730,"S031      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738342 ",2021-04-16 07:41:31.203
CAIU9151822,40,HC,"BKKB70504800                  ","THAO68531           ","ISUZU GLOBAL CV ENGINEERING CENTER CO.,LTD.                                                         ","21SEX-03882-00      ","JAKARTA, INDONESIA                                                                                  ","ALS JUNO 010S                                                                                       ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759138 ",2021-04-08 09:05:23.853,"I011      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","711675 ",2021-04-12 14:38:33.377
TCNU6450280,40,HC,"BKKB70504800                  ","THAO68582           ","ISUZU GLOBAL CV ENGINEERING CENTER CO.,LTD.                                                         ","21SEX-03882-00      ","JAKARTA, INDONESIA                                                                                  ","ALS JUNO 010S                                                                                       ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635390 ",2021-04-08 15:53:13.257,"I022      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","604245 ",2021-04-12 13:43:54.097
KKFU7977431,40,HC,"BKKB70504800                  ","THAO68524           ","ISUZU GLOBAL CV ENGINEERING CENTER CO.,LTD.                                                         ","21SEX-03882-00      ","JAKARTA, INDONESIA                                                                                  ","ALS JUNO 010S                                                                                       ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635392 ",2021-04-08 09:48:59.030,"I012      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738408 ",2021-04-12 13:35:09.050
GESU5903842,40,HC,"BKKB70504800                  ","THAO67522           ","ISUZU GLOBAL CV ENGINEERING CENTER CO.,LTD.                                                         ","21SEX-03882-00      ","JAKARTA, INDONESIA                                                                                  ","ALS JUNO 010S                                                                                       ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635390 ",2021-04-08 10:05:27.447,"I021      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738347 ",2021-04-12 13:32:48.753
NYKU4156156,40,HC,"BKKB70504800                  ","THAO68581           ","ISUZU GLOBAL CV ENGINEERING CENTER CO.,LTD.                                                         ","21SEX-03882-00      ","JAKARTA, INDONESIA                                                                                  ","ALS JUNO 010S                                                                                       ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635392 ",2021-04-08 16:15:02.343,"I031      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","760298 ",2021-04-12 13:25:31.630
TCLU8027979,40,HC,"BKKB70504800                  ","THAO68591           ","ISUZU GLOBAL CV ENGINEERING CENTER CO.,LTD.                                                         ","21SEX-03882-00      ","JAKARTA, INDONESIA                                                                                  ","ALS JUNO 010S                                                                                       ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759144 ",2021-04-08 16:19:21.650,"I032      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","615582 ",2021-04-12 13:24:51.887
DRYU9376985,40,HC,"BKKB70504800                  ","THAO67620           ","ISUZU GLOBAL CV ENGINEERING CENTER CO.,LTD.                                                         ","21SEX-03882-00      ","JAKARTA, INDONESIA                                                                                  ","ALS JUNO 010S                                                                                       ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","780594 ",2021-04-08 16:53:58.730,"I041      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","734822 ",2021-04-12 13:16:05.323
